# t_s cur_mA v_mV APSS_sd APSS_xosd APSS_xopct APSS_cores LPASS_sd LPASS_xosd LPASS_xopct LPASS_cores MPSS_sd MPSS_xosd MPSS_xopct MPSS_cores PRONTO_sd PRONTO_xosd PRONTO_xopct PRONTO_cores
352 52 4289 39 0 0 0x1 0 0 0 0x0 4 4 51 0x1 20 20 81 0x0 
354 52 4291 34 0 0 0x1 0 0 0 0x0 7 7 83 0x0 20 20 85 0x1 
356 164 4259 18 0 0 0x1 0 0 0 0x0 3 3 56 0x1 20 20 86 0x1 
358 71 4287 16 0 0 0x1 0 0 0 0x0 6 6 77 0x1 20 20 79 0x0 
360 146 4275 25 0 0 0x1 0 0 0 0x0 7 7 80 0x0 20 20 85 0x0 
362 57 4285 28 0 0 0x1 0 0 0 0x0 3 3 29 0x0 20 20 86 0x0 
364 163 4252 29 0 0 0x1 0 0 0 0x0 7 7 92 0x0 21 21 86 0x0 
366 190 4260 27 0 0 0x1 0 0 0 0x0 4 4 67 0x1 19 19 83 0x1 
368 89 4274 14 0 0 0x1 0 0 0 0x0 5 5 53 0x0 20 20 81 0x0 
370 62 4287 20 0 0 0x1 0 0 0 0x0 7 7 92 0x0 20 20 83 0x0 
372 53 4284 28 0 0 0x1 0 0 0 0x0 2 2 19 0x0 20 20 86 0x0 
374 95 4278 37 0 0 0x1 0 0 0 0x0 6 6 84 0x0 10 10 32 0x1 
376 53 4285 22 0 0 0x1 0 0 0 0x0 6 6 97 0x1 7 7 15 0x1 
378 180 4261 26 0 0 0x1 0 0 0 0x0 4 4 38 0x0 14 14 56 0x1 
# window_from=2  # samples before this mark saw a lit panel
