== ut-callwatch2 start 2026-09-05 06:28:41  (600s)
== card:    iccid=...3899 mcc=216 mnc=70
== network: name=One HU mcc=216 mnc=70
== ims:     Registered=true VoiceCapable=true SmsCapable=true
== rat pref: nr   imsradio netdevs: 0
06:33:46 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:49 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:53 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:54 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:55 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:56 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:57 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:58 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:33:59 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:01 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:02 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:03 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:04 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:05 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:06 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:08 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:09 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:10 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:11 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:12 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:13 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:16 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:17 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:18 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:19 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:20 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:22 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:24 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:26 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:27 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:28 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
06:34:32 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
