== ut-callwatch2 start 2026-09-05 05:14:20  (600s)
== card:    iccid=<iccid-new-card> imsi=<imsi-new-card> mcc=216 mnc=70
== network: name=One HU mcc=216 mnc=70
== ims:     Registered=true VoiceCapable=true SmsCapable=true
== rat pref: nr   imsradio netdevs: 0
05:18:28 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:30 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:31 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:32 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:33 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:34 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:35 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=alerting,
05:18:36 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
05:18:38 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
05:18:39 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
05:18:40 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
05:18:41 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
05:18:42 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
05:18:43 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
05:18:44 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
05:18:46 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:18:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:18:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:18:49 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:18:50 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:18:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:18:52 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:18:54 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:18:55 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:18:56 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:18:57 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:18:58 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
05:18:59 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
