# t_s cur_mA v_mV APSS_sd APSS_xosd APSS_xopct APSS_cores LPASS_sd LPASS_xosd LPASS_xopct LPASS_cores MPSS_sd MPSS_xosd MPSS_xopct MPSS_cores PRONTO_sd PRONTO_xosd PRONTO_xopct PRONTO_cores
308 71 4256 33 0 0 0x1 0 0 0 0x0 6 6 95 0x1 20 20 85 0x0 
310 54 4251 14 0 0 0x1 0 0 0 0x0 4 4 39 0x0 20 20 86 0x0 
312 99 4247 36 0 0 0x1 0 0 0 0x0 6 6 80 0x0 21 21 83 0x0 
314 52 4259 22 0 0 0x1 0 0 0 0x0 6 6 92 0x1 19 19 86 0x1 
316 57 4259 18 0 0 0x1 0 0 0 0x0 4 4 39 0x0 20 20 82 0x0 
318 52 4258 34 0 0 0x1 0 0 0 0x0 6 6 79 0x0 20 20 85 0x0 
320 161 4226 17 0 0 0x1 0 0 0 0x0 4 4 68 0x1 20 20 85 0x0 
322 113 4240 30 0 0 0x1 0 0 0 0x0 6 6 66 0x0 20 20 85 0x0 
324 63 4257 34 0 0 0x1 0 0 0 0x0 6 6 84 0x0 21 21 86 0x0 
326 91 4241 26 0 0 0x1 0 0 0 0x0 4 4 55 0x0 19 19 83 0x1 
328 110 4233 28 0 0 0x1 0 0 0 0x0 6 6 84 0x0 10 10 17 0x0 
330 116 4240 18 0 0 0x1 0 0 0 0x0 6 6 80 0x0 8 8 20 0x1 
332 53 4256 28 0 0 0x1 0 0 0 0x0 4 4 51 0x0 17 17 69 0x0 
334 53 4260 33 0 0 0x1 0 0 0 0x0 6 6 80 0x0 20 20 83 0x0 
336 220 4216 29 0 0 0x1 0 0 0 0x0 4 4 66 0x1 19 19 84 0x1 
338 203 4224 29 0 0 0x1 0 0 0 0x0 6 6 66 0x0 20 20 81 0x0 
340 147 4242 23 0 0 0x1 0 0 0 0x0 6 6 80 0x0 21 21 85 0x0 
342 93 4238 31 0 0 0x1 0 0 0 0x0 3 3 39 0x0 20 20 84 0x0 
344 82 4253 18 0 0 0x1 0 0 0 0x0 7 7 96 0x0 20 20 87 0x0 
346 63 4255 20 0 0 0x1 0 0 0 0x0 6 6 83 0x0 20 20 83 0x0 
348 53 4258 42 0 0 0x1 0 0 0 0x0 3 3 41 0x0 19 19 84 0x1 
350 53 4259 27 0 0 0x1 0 0 0 0x0 7 7 97 0x0 18 18 71 0x0 
352 258 4222 36 0 0 0x1 0 0 0 0x0 4 4 69 0x1 17 17 67 0x0 
354 108 4244 36 0 0 0x1 0 0 0 0x0 5 5 63 0x1 20 20 78 0x0 
356 53 4256 14 0 0 0x1 0 0 0 0x0 7 7 81 0x0 20 20 85 0x0 
358 110 4243 20 0 0 0x1 0 0 0 0x0 3 3 42 0x0 21 21 85 0x0 
360 94 4252 19 0 0 0x1 0 0 0 0x0 6 6 91 0x1 18 18 82 0x1 
362 105 4244 21 0 0 0x1 0 0 0 0x0 7 7 79 0x0 8 8 20 0x1 
364 96 4240 33 0 0 0x1 0 0 0 0x0 3 3 39 0x0 9 9 17 0x0 
366 120 4253 28 0 0 0x1 0 0 0 0x0 6 6 93 0x1 17 17 71 0x0 
368 148 4236 36 0 0 0x1 0 0 0 0x0 5 5 69 0x1 20 20 86 0x0 
370 53 4254 21 0 0 0x1 0 0 0 0x0 5 5 50 0x0 21 21 83 0x0 
372 63 4256 5 0 0 0x1 0 0 0 0x0 7 7 94 0x0 19 19 86 0x1 
374 111 4234 17 0 0 0x1 0 0 0 0x0 3 3 40 0x0 20 20 83 0x0 
# window_from=2  # samples before this mark saw a lit panel
