== ut-callwatch2 start 2026-09-05 07:13:54  (900s)
== card:    iccid=...6542 mcc=216 mnc=70
== network: name= mcc= mnc=
== ims:     Registered=true VoiceCapable=true SmsCapable=true
== rat pref: nr   imsradio netdevs: 0
07:16:52 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=incoming,
07:16:53 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=incoming,
07:16:54 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=incoming,
07:16:55 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=incoming,
07:16:57 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=incoming,
07:16:58 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
07:16:59 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
07:17:00 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
07:17:01 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
07:17:02 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
07:17:04 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
07:17:05 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
07:17:06 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
07:17:07 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
07:17:08 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
07:17:09 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=active,
07:17:10 tech=edge reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:12 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:13 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:14 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:15 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:16 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:17 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:18 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:20 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:21 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:22 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:23 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:24 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:25 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:26 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:28 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:29 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:30 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:31 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:32 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:33 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:34 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:36 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:37 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:38 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:39 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:40 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:41 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:42 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:44 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:45 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:46 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:47 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:48 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:49 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:51 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:52 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:53 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:54 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:55 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:56 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:57 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:17:58 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:18:00 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:18:01 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
07:18:02 tech=lte reg=registered imsreg=true imsvoice=true imsdev=0 states=
