# t_s cur_mA v_mV APSS_sd APSS_xosd APSS_xopct APSS_cores LPASS_sd LPASS_xosd LPASS_xopct LPASS_cores MPSS_sd MPSS_xosd MPSS_xopct MPSS_cores PRONTO_sd PRONTO_xosd PRONTO_xopct PRONTO_cores
310 159 4282 11 0 0 0x1 0 0 0 0x0 7 7 80 0x0 19 19 85 0x1 
312 220 4280 22 0 0 0x1 0 0 0 0x0 7 7 83 0x0 7 7 16 0x1 
314 105 4279 37 0 0 0x1 0 0 0 0x0 3 3 38 0x0 7 7 18 0x1 
316 94 4289 30 0 0 0x1 0 0 0 0x0 6 6 79 0x0 17 17 66 0x0 
318 173 4258 30 0 0 0x1 0 0 0 0x0 3 3 49 0x1 20 20 85 0x0 
320 52 4293 17 0 0 0x1 0 0 0 0x0 5 5 52 0x0 21 21 83 0x0 
322 52 4296 30 0 0 0x1 0 0 0 0x0 6 6 80 0x0 19 19 87 0x1 
324 135 4266 29 0 0 0x1 0 0 0 0x0 3 3 56 0x1 20 20 82 0x0 
326 70 4289 15 0 0 0x1 0 0 0 0x0 7 7 77 0x0 21 21 85 0x0 
328 54 4293 30 0 0 0x1 0 0 0 0x0 4 4 49 0x0 20 20 82 0x0 
330 127 4275 13 0 0 0x1 0 0 0 0x0 3 3 52 0x1 20 20 83 0x0 
332 52 4293 21 0 0 0x1 0 0 0 0x0 7 7 80 0x0 21 21 86 0x0 
334 278 4238 33 0 0 0x1 0 0 0 0x0 5 5 81 0x1 20 20 85 0x0 
336 151 4272 12 0 0 0x1 0 0 0 0x0 5 5 51 0x0 18 18 76 0x0 
338 223 4261 17 0 0 0x1 0 0 0 0x0 4 4 52 0x0 20 20 84 0x0 
340 156 4264 17 0 0 0x1 0 0 0 0x0 3 3 56 0x1 20 20 84 0x0 
342 95 4282 27 0 0 0x1 0 0 0 0x0 4 4 38 0x0 20 20 75 0x0 
344 52 4295 35 0 0 0x1 0 0 0 0x0 6 6 78 0x0 18 18 79 0x1 
346 144 4271 15 0 0 0x1 0 0 0 0x0 3 3 51 0x1 9 9 20 0x1 
348 122 4274 11 0 0 0x1 0 0 0 0x0 7 7 79 0x0 8 8 17 0x0 
350 197 4260 15 0 0 0x1 0 0 0 0x0 5 5 80 0x1 18 18 67 0x0 
352 213 4264 27 0 0 0x1 0 0 0 0x0 4 4 48 0x1 20 20 87 0x0 
354 95 4292 33 0 0 0x1 0 0 0 0x0 7 7 80 0x0 20 20 86 0x0 
356 185 4256 7 0 0 0x1 0 0 0 0x0 3 3 52 0x1 20 20 86 0x0 
358 59 4294 34 0 0 0x1 0 0 0 0x0 6 6 79 0x1 18 18 76 0x1 
360 52 4289 37 0 0 0x1 0 0 0 0x0 8 8 75 0x0 22 22 75 0x0 
362 56 4287 10 0 0 0x1 0 0 0 0x0 3 3 38 0x0 20 20 83 0x0 
364 62 4290 19 0 0 0x1 0 0 0 0x0 6 6 93 0x1 20 20 85 0x0 
366 122 4287 23 0 0 0x1 0 0 0 0x0 6 6 79 0x1 17 17 69 0x0 
368 102 4279 12 0 0 0x1 0 0 0 0x0 4 4 39 0x0 18 18 82 0x1 
370 167 4268 24 0 0 0x1 0 0 0 0x0 7 7 93 0x0 20 20 84 0x1 
372 182 4247 26 0 0 0x1 0 0 0 0x0 3 3 53 0x1 20 20 70 0x0 
374 62 4288 21 0 0 0x1 0 0 0 0x0 4 4 37 0x0 20 20 86 0x0 
376 53 4293 25 0 0 0x1 0 0 0 0x0 7 7 94 0x0 20 20 87 0x0 
378 112 4272 32 0 0 0x1 0 0 0 0x0 4 4 34 0x0 19 19 77 0x1 
# window_from=2  # samples before this mark saw a lit panel
