# xo-series master=MPSS window=600s tick=19200000 sampled at 1 Hz
# kernel=#80-fp3 SMP PREEMPT Sat Aug 29 08:52:09 UTC 2026
# t_s  awake_ms  xo_off_ms  dt_s  xo_shutdowns  state
# ☠️ state=down with awake_ms=1000 means the master was ASLEEP THE WHOLE SECOND
#    and the edge-updated counter simply did not advance - NOT 100% awake.
304.9 439.0 601.0 1.040 3 up+cores
305.9 441.8 598.2 1.040 4 up
307.0 429.0 601.0 1.030 2 up+cores
308.0 770.6 269.4 1.040 2 up+cores
309.0 429.3 600.7 1.030 3 up+cores
310.0 435.2 594.8 1.030 4 up
311.1 394.0 646.0 1.040 3 up
312.1 373.7 646.3 1.020 3 up
313.1 708.4 321.6 1.030 1 up+cores
314.2 432.6 597.4 1.030 4 up
315.2 439.0 601.0 1.040 3 up
316.2 432.1 597.9 1.030 3 up
317.3 245.8 784.2 1.030 3 up+cores
318.3 1040.0 0.0 1.040 0 up+cores
319.3 440.2 599.8 1.040 4 up
320.4 428.8 601.2 1.030 3 up
321.4 248.4 781.6 1.030 3 up+cores
322.5 439.1 600.9 1.040 3 up+cores
323.5 832.7 197.3 1.030 1 up+cores
324.5 634.1 395.9 1.030 3 up
325.5 426.1 613.9 1.040 3 up
326.6 231.0 799.0 1.030 3 up+cores
327.6 426.2 613.8 1.040 4 up
328.7 586.3 443.7 1.030 1 up+cores
329.7 827.8 202.2 1.030 2 up
330.7 231.0 809.0 1.040 3 up+cores
331.7 416.8 613.2 1.030 3 up+cores
332.8 421.0 619.0 1.040 4 up
333.8 426.2 613.8 1.040 2 up+cores
334.9 835.2 204.8 1.040 1 up+cores
335.9 416.2 613.8 1.030 3 up+cores
336.9 420.9 619.1 1.040 4 up
338.0 440.1 599.9 1.040 3 up
339.0 218.8 811.2 1.030 3 up+cores
340.0 1030.0 0.0 1.030 0 up+cores
341.1 871.8 158.2 1.030 2 up
342.1 448.5 591.5 1.040 3 up
343.1 437.9 592.1 1.030 3 up
344.2 243.6 786.4 1.030 3 up+cores
345.2 817.2 212.8 1.030 1 up+cores
346.2 592.4 437.6 1.030 4 up
347.3 448.1 591.9 1.040 3 up
348.3 240.6 789.4 1.030 3 up+cores
349.3 451.8 578.2 1.030 3 up+cores
350.4 645.4 394.6 1.040 2 up+cores
351.4 765.7 264.3 1.030 3 up
352.4 452.1 577.9 1.030 3 up
353.5 250.4 789.6 1.040 3 up+cores
354.5 438.1 591.9 1.030 4 up
355.5 437.7 592.3 1.030 2 up+cores
356.6 1030.0 0.0 1.030 0 up+cores
357.6 661.8 368.2 1.030 2 up+cores
358.6 438.1 591.9 1.030 3 up+cores
359.7 447.9 592.1 1.040 4 up
360.7 452.1 577.9 1.030 3 up
361.7 832.7 197.3 1.030 1 up
362.8 420.0 620.0 1.040 3 up+cores
363.8 441.6 588.4 1.030 4 up
364.8 438.1 591.9 1.030 3 up
365.9 461.9 578.1 1.040 3 up
366.9 836.4 193.6 1.030 0 up+cores
367.9 448.9 591.1 1.040 3 up+cores
369.0 620.1 409.9 1.030 2 up+cores
370.0 553.7 476.3 1.030 4 up
371.0 244.3 795.7 1.040 4 up+cores
372.1 832.8 197.2 1.030 1 up+cores
373.1 636.5 393.5 1.030 3 up
374.1 447.7 592.3 1.040 3 up
375.2 455.1 574.9 1.030 3 up
376.2 250.2 789.8 1.040 3 up+cores
377.2 1030.0 0.0 1.030 0 up+cores
378.3 648.9 391.1 1.040 3 up
379.3 447.7 592.3 1.040 3 up
380.3 269.0 771.0 1.040 3 up+cores
381.4 832.7 197.3 1.030 2 up
382.4 842.4 197.6 1.040 0 up+cores
383.5 742.8 297.2 1.040 3 up
384.5 210.3 819.7 1.030 3 up+cores
385.5 393.0 637.0 1.030 3 up+cores
386.5 383.0 637.0 1.020 3 up+cores
387.6 1030.0 0.0 1.030 0 up+cores
388.6 817.7 212.3 1.030 2 up
389.6 190.4 849.6 1.040 3 up+cores
390.7 417.5 622.5 1.040 4 up
391.7 394.6 635.4 1.030 3 up
392.7 404.6 635.4 1.040 2 up+cores
393.8 819.6 210.4 1.030 1 up+cores
394.8 409.2 620.8 1.030 3 up+cores
395.8 447.8 592.2 1.040 4 up
396.9 438.0 592.0 1.030 2 up+cores
397.9 635.4 394.6 1.030 2 up+cores
398.9 1030.0 0.0 1.030 0 up+cores
400.0 449.0 591.0 1.040 4 up
401.0 453.0 577.0 1.030 3 up
402.0 451.3 588.7 1.040 4 up
403.1 259.6 770.4 1.030 3 up+cores
404.1 832.8 197.2 1.030 1 up+cores
405.1 612.1 417.9 1.030 4 up
406.2 437.8 592.2 1.030 3 up
407.2 455.9 574.1 1.030 2 up+cores
408.2 645.3 394.7 1.040 2 up+cores
409.3 653.1 376.9 1.030 2 up+cores
410.3 710.8 319.2 1.030 3 up
411.3 437.9 592.1 1.030 3 up
412.4 443.3 586.7 1.030 3 up
413.4 210.2 819.8 1.030 3 up+cores
414.4 606.1 423.9 1.030 2 up+cores
415.5 842.7 197.3 1.040 2 up
416.5 255.0 775.0 1.030 3 up+cores
417.5 645.4 394.6 1.040 2 up+cores
418.6 645.4 394.6 1.040 3 up
419.6 442.2 577.8 1.020 2 up+cores
420.6 897.8 142.2 1.040 2 up
421.7 255.2 774.8 1.030 3 up+cores
422.7 438.1 591.9 1.030 3 up+cores
423.7 438.1 591.9 1.030 4 up
424.7 422.8 607.2 1.030 2 up+cores
425.8 733.8 306.2 1.040 2 up+cores
426.8 553.1 476.9 1.030 4 up
427.8 428.1 591.9 1.020 2 up+cores
428.9 898.9 141.1 1.040 1 up+cores
429.9 438.0 592.0 1.030 3 up+cores
431.0 843.9 196.1 1.040 1 up+cores
432.0 428.3 591.7 1.020 3 up+cores
433.0 451.1 578.9 1.030 4 up
434.0 438.0 592.0 1.030 3 up
435.1 448.2 591.8 1.040 3 up
436.1 805.5 214.5 1.020 1 up+cores
437.1 448.3 591.7 1.040 3 up+cores
438.2 408.2 621.8 1.030 3 up+cores
439.2 827.6 212.4 1.040 2 up
440.2 195.2 834.8 1.030 3 up+cores
441.3 817.4 212.6 1.030 1 up+cores
442.3 636.5 393.5 1.030 3 up
443.3 462.0 578.0 1.040 3 up
444.4 244.6 785.4 1.030 3 up+cores
445.4 438.1 591.9 1.030 4 up
446.4 625.3 394.7 1.020 1 up+cores
447.5 844.2 195.8 1.040 2 up
448.5 240.7 789.3 1.030 3 up+cores
449.5 1040.0 0.0 1.040 0 up+cores
450.5 438.0 592.0 1.030 4 up
451.6 438.1 591.9 1.030 2 up+cores
452.6 1030.0 0.0 1.030 1 up
453.6 242.2 787.8 1.030 3 up+cores
454.7 418.0 622.0 1.040 4 up
455.7 392.8 637.2 1.030 3 up
456.7 314.5 715.5 1.030 3 up+cores
457.8 832.7 197.3 1.030 1 up+cores
458.8 452.2 577.8 1.030 3 up+cores
459.8 832.8 197.2 1.030 2 up
460.9 462.1 577.9 1.040 3 up
461.9 240.7 789.3 1.030 3 up+cores
462.9 1001.8 28.2 1.030 1 up+cores
464.0 438.6 591.4 1.030 4 up
465.0 448.3 591.7 1.040 3 up
466.0 456.1 573.9 1.030 3 up
467.1 254.2 785.8 1.040 3 up+cores
468.1 832.5 197.5 1.030 1 up+cores
469.1 598.6 441.4 1.040 3 up+cores
470.2 832.8 197.2 1.030 2 up
471.2 225.5 804.5 1.030 3 up+cores
472.2 407.6 622.4 1.030 3 up+cores
473.3 616.0 424.0 1.040 2 up+cores
474.3 1040.0 0.0 1.040 0 up+cores
475.3 473.2 556.8 1.030 3 up+cores
476.4 452.7 577.3 1.030 3 up+cores
477.4 437.5 592.5 1.030 4 up
478.4 408.2 621.8 1.030 2 up+cores
