# [qrtr://0] Successfully got RF band info
# Band Information:
# 	Radio Interface:   'lte'
# 	Active Band Class: 'eutran-1'
# 	Active Channel:    '500'
# Band Information (Extended):
# 	Radio Interface:   'lte'
# 	Active Band Class: 'eutran-1'
# 	Active Channel:    '500'
# [qrtr://0] Successfully got serving system:
# 	Registration state: 'registered'
# 	CS: 'attached'
# 	PS: 'attached'
# 	Selected network: '3gpp'
# 	Radio interfaces: '1'
# 		[0]: 'lte'
# 	Roaming status: 'off'
# xo-series master=MPSS window=600s tick=19200000 sampled at 1 Hz
# kernel=#80-fp3 SMP PREEMPT Sat Aug 29 08:52:09 UTC 2026
# t_s  awake_ms  xo_off_ms  dt_s  xo_shutdowns
306.1 1030.0 0.0 1.030 3
307.2 1020.0 0.0 1.020 5
308.2 1020.0 0.0 1.020 0
309.2 1030.0 0.0 1.030 3
310.2 1020.0 0.0 1.020 3
311.2 1020.0 0.0 1.020 3
312.3 1030.0 0.0 1.030 4
313.3 1020.0 0.0 1.020 1
314.3 1030.0 0.0 1.030 3
315.3 1020.0 0.0 1.020 3
316.4 1020.0 0.0 1.020 3
317.4 1030.0 0.0 1.030 3
318.4 1020.0 0.0 1.020 2
319.4 1030.0 0.0 1.030 3
320.5 1020.0 0.0 1.020 3
321.5 1020.0 0.0 1.020 3
322.5 1030.0 0.0 1.030 4
323.5 1020.0 0.0 1.020 2
324.6 1030.0 0.0 1.030 2
325.6 1020.0 0.0 1.020 3
326.6 1020.0 0.0 1.020 3
327.6 1030.0 0.0 1.030 4
328.7 1030.0 0.0 1.030 1
329.7 1010.0 0.0 1.010 1
330.7 1030.0 0.0 1.030 3
331.7 1020.0 0.0 1.020 4
332.8 1020.0 0.0 1.020 4
333.8 1030.0 0.0 1.030 3
334.8 1020.0 0.0 1.020 1
335.8 1030.0 0.0 1.030 3
336.8 1020.0 0.0 1.020 3
337.9 1030.0 0.0 1.030 4
338.9 1020.0 0.0 1.020 1
339.9 1020.0 0.0 1.020 1
340.9 1020.0 0.0 1.020 3
342.0 1030.0 0.0 1.030 3
343.0 1030.0 0.0 1.030 4
344.0 1030.0 0.0 1.030 3
345.0 1010.0 0.0 1.010 2
346.1 1020.0 0.0 1.020 1
347.1 1030.0 0.0 1.030 3
348.1 1030.0 0.0 1.030 4
349.1 1030.0 0.0 1.030 1
350.2 1020.0 0.0 1.020 3
351.2 1030.0 0.0 1.030 0
352.2 1020.0 0.0 1.020 4
353.2 1030.0 0.0 1.030 3
354.3 1020.0 0.0 1.020 3
355.3 1030.0 0.0 1.030 3
356.3 1020.0 0.0 1.020 1
357.3 1020.0 0.0 1.020 3
358.4 1030.0 0.0 1.030 4
359.4 1030.0 0.0 1.030 1
360.4 1020.0 0.0 1.020 3
361.4 1020.0 0.0 1.020 1
362.5 1030.0 0.0 1.030 3
363.5 1020.0 0.0 1.020 4
364.5 1020.0 0.0 1.020 3
365.5 1030.0 0.0 1.030 3
366.6 1020.0 0.0 1.020 2
367.6 1020.0 0.0 1.020 2
368.6 1020.0 0.0 1.020 4
369.6 1020.0 0.0 1.020 1
370.6 1020.0 0.0 1.020 3
371.7 1020.0 0.0 1.020 3
372.7 1020.0 0.0 1.020 1
373.7 1030.0 0.0 1.030 4
374.7 1030.0 0.0 1.030 3
375.8 1030.0 0.0 1.030 3
376.8 1020.0 0.0 1.020 3
377.8 1030.0 0.0 1.030 1
378.8 1020.0 0.0 1.020 4
379.9 1020.0 0.0 1.020 1
380.9 1030.0 0.0 1.030 3
381.9 1030.0 0.0 1.030 3
382.9 1020.0 0.0 1.020 2
384.0 1020.0 0.0 1.020 2
385.0 1020.0 0.0 1.020 3
386.0 1030.0 0.0 1.030 3
387.0 1030.0 0.0 1.030 3
388.1 1020.0 0.0 1.020 3
389.1 1030.0 0.0 1.030 2
390.1 1020.0 0.0 1.020 1
391.1 1020.0 0.0 1.020 3
392.2 1030.0 0.0 1.030 3
393.2 1020.0 0.0 1.020 3
394.2 1030.0 0.0 1.030 1
395.2 1020.0 0.0 1.020 1
396.2 1020.0 0.0 1.020 3
397.3 1020.0 0.0 1.020 3
398.3 1030.0 0.0 1.030 3
399.3 1020.0 0.0 1.020 2
400.3 1030.0 0.0 1.030 3
401.4 1020.0 0.0 1.020 3
402.4 1030.0 0.0 1.030 0
403.4 1030.0 0.0 1.030 3
404.4 1020.0 0.0 1.020 3
405.5 1030.0 0.0 1.030 2
406.5 1020.0 0.0 1.020 3
407.5 1030.0 0.0 1.030 3
408.6 1030.0 0.0 1.030 3
409.6 1020.0 0.0 1.020 5
410.6 1030.0 0.0 1.030 0
411.6 1030.0 0.0 1.030 4
412.6 1010.0 0.0 1.010 3
413.7 1030.0 0.0 1.030 3
414.7 1020.0 0.0 1.020 4
415.7 1020.0 0.0 1.020 1
416.8 1030.0 0.0 1.030 3
417.8 1020.0 0.0 1.020 3
418.8 1030.0 0.0 1.030 3
419.8 1020.0 0.0 1.020 4
420.8 1030.0 0.0 1.030 2
421.9 1020.0 0.0 1.020 2
422.9 1030.0 0.0 1.030 3
423.9 1020.0 0.0 1.020 3
424.9 1030.0 0.0 1.030 4
426.0 1020.0 0.0 1.020 1
427.0 1020.0 0.0 1.020 0
428.0 1020.0 0.0 1.020 3
429.0 1020.0 0.0 1.020 3
430.0 1020.0 0.0 1.020 4
431.1 1020.0 0.0 1.020 1
432.1 1020.0 0.0 1.020 0
433.1 1020.0 0.0 1.020 3
434.1 1020.0 0.0 1.020 3
435.1 1020.0 0.0 1.020 4
436.2 1030.0 0.0 1.030 3
437.2 1020.0 0.0 1.020 1
438.2 1020.0 0.0 1.020 3
439.2 1020.0 0.0 1.020 3
440.3 1020.0 0.0 1.020 3
441.3 1030.0 0.0 1.030 3
442.3 1030.0 0.0 1.030 1
443.3 1030.0 0.0 1.030 2
444.4 1020.0 0.0 1.020 3
445.4 1020.0 0.0 1.020 4
446.4 1020.0 0.0 1.020 3
447.4 1020.0 0.0 1.020 3
448.4 1020.0 0.0 1.020 1
449.5 1030.0 0.0 1.030 3
450.5 1020.0 0.0 1.020 4
451.5 1030.0 0.0 1.030 2
452.6 1030.0 0.0 1.030 2
453.6 1020.0 0.0 1.020 1
454.6 1020.0 0.0 1.020 3
455.6 1030.0 0.0 1.030 4
456.6 1020.0 0.0 1.020 3
457.7 1030.0 0.0 1.030 3
458.7 1020.0 0.0 1.020 2
459.7 1020.0 0.0 1.020 2
460.8 1040.0 0.0 1.040 4
461.8 1020.0 0.0 1.020 2
462.8 1020.0 0.0 1.020 2
463.8 1030.0 0.0 1.030 3
464.8 1020.0 0.0 1.020 1
465.9 1030.0 0.0 1.030 4
466.9 1020.0 0.0 1.020 4
467.9 1030.0 0.0 1.030 3
468.9 1020.0 0.0 1.020 3
470.0 1020.0 0.0 1.020 1
471.0 1030.0 0.0 1.030 3
472.0 1030.0 0.0 1.030 2
473.0 1020.0 0.0 1.020 2
474.1 1030.0 0.0 1.030 3
475.1 1020.0 0.0 1.020 2
476.1 1020.0 0.0 1.020 3
477.1 1030.0 0.0 1.030 3
478.2 1020.0 0.0 1.020 3
479.2 1020.0 0.0 1.020 3
480.2 1030.0 0.0 1.030 3
481.2 1030.0 0.0 1.030 2
482.3 1020.0 0.0 1.020 2
483.3 1020.0 0.0 1.020 2
484.3 1020.0 0.0 1.020 3
485.3 1030.0 0.0 1.030 3
486.3 1010.0 0.0 1.010 1
487.4 1030.0 0.0 1.030 4
488.4 1030.0 0.0 1.030 3
489.4 1020.0 0.0 1.020 3
490.5 1030.0 0.0 1.030 4
491.5 1020.0 0.0 1.020 2
492.5 1020.0 0.0 1.020 1
493.5 1020.0 0.0 1.020 2
494.5 1020.0 0.0 1.020 3
495.6 1030.0 0.0 1.030 3
496.6 1020.0 0.0 1.020 3
497.6 1030.0 0.0 1.030 1
498.6 1020.0 0.0 1.020 3
499.7 1020.0 0.0 1.020 3
500.7 1020.0 0.0 1.020 3
501.7 1030.0 0.0 1.030 4
502.7 1030.0 0.0 1.030 0
503.8 1020.0 0.0 1.020 2
504.8 1030.0 0.0 1.030 3
505.8 1020.0 0.0 1.020 4
506.8 1020.0 0.0 1.020 4
507.8 1020.0 0.0 1.020 1
508.9 1030.0 0.0 1.030 2
509.9 1020.0 0.0 1.020 3
510.9 1020.0 0.0 1.020 3
511.9 1030.0 0.0 1.030 4
513.0 1020.0 0.0 1.020 2
514.0 1020.0 0.0 1.020 2
515.0 1020.0 0.0 1.020 3
516.0 1030.0 0.0 1.030 3
517.1 1020.0 0.0 1.020 3
518.1 1020.0 0.0 1.020 4
519.1 1030.0 0.0 1.030 0
520.1 1020.0 0.0 1.020 3
521.2 1030.0 0.0 1.030 3
522.2 1020.0 0.0 1.020 1
523.2 1030.0 0.0 1.030 3
524.2 1030.0 0.0 1.030 0
525.3 1020.0 0.0 1.020 3
526.3 1020.0 0.0 1.020 3
527.3 1020.0 0.0 1.020 4
528.3 1030.0 0.0 1.030 3
529.4 1030.0 0.0 1.030 1
530.4 1020.0 0.0 1.020 0
531.4 1020.0 0.0 1.020 2
532.4 1020.0 0.0 1.020 4
533.4 1030.0 0.0 1.030 3
534.5 1020.0 0.0 1.020 2
535.5 1030.0 0.0 1.030 1
536.5 1020.0 0.0 1.020 3
537.5 1020.0 0.0 1.020 3
538.6 1030.0 0.0 1.030 4
539.6 1030.0 0.0 1.030 3
540.6 1020.0 0.0 1.020 0
541.6 1020.0 0.0 1.020 3
542.7 1030.0 0.0 1.030 4
543.7 1020.0 0.0 1.020 3
544.7 1030.0 0.0 1.030 3
545.7 1020.0 0.0 1.020 1
546.8 1020.0 0.0 1.020 2
547.8 1020.0 0.0 1.020 4
548.8 1030.0 0.0 1.030 3
549.8 1020.0 0.0 1.020 3
550.9 1030.0 0.0 1.030 2
551.9 1030.0 0.0 1.030 1
552.9 1020.0 0.0 1.020 3
553.9 1020.0 0.0 1.020 4
555.0 1030.0 0.0 1.030 3
556.0 1030.0 0.0 1.030 3
557.0 1030.0 0.0 1.030 0
558.0 1020.0 0.0 1.020 4
559.1 1020.0 0.0 1.020 3
560.1 1020.0 0.0 1.020 3
561.1 1030.0 0.0 1.030 3
562.1 1020.0 0.0 1.020 1
563.1 1020.0 0.0 1.020 3
564.2 1030.0 0.0 1.030 3
565.2 1020.0 0.0 1.020 3
566.2 1020.0 0.0 1.020 3
567.2 1020.0 0.0 1.020 2
568.3 1030.0 0.0 1.030 1
569.3 1020.0 0.0 1.020 4
570.3 1030.0 0.0 1.030 3
571.3 1020.0 0.0 1.020 3
572.4 1030.0 0.0 1.030 3
573.4 1020.0 0.0 1.020 0
574.4 1030.0 0.0 1.030 4
575.4 1030.0 0.0 1.030 3
576.5 1020.0 0.0 1.020 1
577.5 1020.0 0.0 1.020 3
578.5 1030.0 0.0 1.030 1
579.5 1020.0 0.0 1.020 3
580.6 1030.0 0.0 1.030 3
581.6 1020.0 0.0 1.020 3
582.6 1030.0 0.0 1.030 3
583.6 1020.0 0.0 1.020 2
584.7 1020.0 0.0 1.020 2
585.7 1030.0 0.0 1.030 3
586.7 1020.0 0.0 1.020 3
587.7 1030.0 0.0 1.030 3
588.8 1020.0 0.0 1.020 3
589.8 1020.0 0.0 1.020 0
590.8 1030.0 0.0 1.030 3
591.8 1030.0 0.0 1.030 3
592.9 1020.0 0.0 1.020 3
593.9 1020.0 0.0 1.020 3
594.9 1030.0 0.0 1.030 1
595.9 1020.0 0.0 1.020 1
596.9 1020.0 0.0 1.020 3
598.0 1020.0 0.0 1.020 3
599.0 1030.0 0.0 1.030 4
600.0 1020.0 0.0 1.020 1
